ID-ES,TERMS,SYNONYMS,altLabel1,altLabel2,altLabel3,altLabel4,altLabel5,
1,author,,,,,,,
2,artist,,,,,,,
3,bibliography,,,,,,,
4,condition,,,,,,,
5,description,,,,,,,
6,width,,,,,,,
7,height,,,,,,,
8,Domain,"Object Type / Material, Categories, Classification, Object, Classifications, Denomination",Object Type / Material,Categories,Classification,Object,Classifications,Denomination
9,Register number,"recordId, Object Number",recordId,Object Number,,,,
10,Technical description,,,,,,,
11,Record,,,,,,,